Altium Designer Pick and Place Locations
C:\Repo\I2C_Jog_Controller\PCBA\Project Outputs for I2C_Jog_Controller\I2C_Jog_Controller_UPLOAD_GERBERS_A4\Pick Place\I2C_Jog_Controller_CAM_OUTPUT_A4.csv

========================================================================================================================
File Design Information:

Date:       11-05-22
Time:       11:15
Revision:   1f8edf632ff1848fe6399aa24a5aa63a510f3716
Variant:    FULL_ASSEMBLY
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation","Footprint"
"FHL_C12","84.3750","72.3750","TopLayer","90","0402_C"
"HLT_C12","84.3750","93.1250","TopLayer","90","0402_C"
"SW1","40.1250","58.5000","TopLayer","180","TECO-FSM4JSMATR_V"
"Q1","50.7500","2.5000","TopLayer","90","SOT-23(SOT-23-3)"
"SW2","30.2500","58.5000","TopLayer","0","TECO-FSM4JSMATR_V"
"R2","21.0000","4.6250","TopLayer","270","0402_R"
"R1","19.7500","4.6250","TopLayer","270","0402_R"
"C3","30.2500","51.5000","TopLayer","0","0402_C"
"C1","40.2500","51.5000","TopLayer","180","0402_C"
"Logo1","88.1457","10.3414","TopOverlay","0","Expatria-Logo"
"RI_U9","44.9500","44.6250","TopLayer","90","SOIC-8_150mil"
"U1","42.1250","28.1250","TopLayer","180","ADA-RGB-1655_V"
"RI_R16","49.8750","44.9250","TopLayer","270","0402_R"
"RI_R15","39.7500","43.2500","TopLayer","90","0402_R"
"R12","43.0000","6.0000","TopLayer","90","0402_R"
"R11","56.1250","16.6250","TopLayer","90","0402_R"
"C11","23.2500","75.5000","TopLayer","180","0402_C"
"RI_C16","39.6750","46.6250","TopLayer","180","0402_C"
"RI_C15","39.7500","45.1250","TopLayer","0","0402_C"
"C2","47.3750","28.0000","TopLayer","270","0402_C"
